,name,country,event,date_of_violation,substance,sanction,references,flagged
1926,Ghfran Almouhamad, Syria,Hurdling,2012,Methylhexaneamine,6 months,[7][42],1
1927,Anna Alminova, Russia,Middle distance,2010  2009,Pseudoephedrine  Biological passport anomalies,3 months  30 months,[32][43][13][44][45],1
1928,Anthony Alozie, Australia,Sprinting,2013,Three Whereabouts Failures,20 months,[30][46][47],1
1929,Aslı Çakır Alptekin, Turkey,Middle distance/steeplechase,2004  2010,Metenolone  Biological passport,2 years  8 years,[48][49][50][51][52][53][54],1
1930,Chinaza Amadi, Niger,Long jump,2015,Metenolone,4 years,[55][56],1
1931,Gloria Amuche Nwosu, Nigeria,Sprinting,2005,Testosterone,2 years,[57],1
1932,Anis Ananenka, Belarus,Middle distance,2015,GW1516,4 years,[58][59],1
1933,Andreas Anastasopoulos, Greece,Shot put,2001,,2 years,[60],1
1934,Georg Andersen, Norway,Shot put,1991,Metenolone,21 months,[13][61][62],1
1935,Marvin Anderson, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
1936,Lyudmila Andonova, Bulgaria,High jump,1985,Amphetamine,18 months,[1][2][64],1
1937,Yeorgios Andreou, Cyprus,Decathlon,2003,,2 years,[65],1
1938,Vladimir Andreyev, Russia,Race walking,2005,Salbutamol,1 year,[66][67],1
1939,Yuriy Andronov, Russia,Race walking,2014,Trimetazidine,2 years,[34][68],1
1940,Ivanildo dos Anjos, Brazil,Long distance,2014,Hydrochlorothiazide,18 months,[69][70][71],1
1941,Adrián Annus, Hungary,Hammer throw,2004,"Missed test, tampering",2 years,[72][73],1
1942,Seema Antil, India,Discus throw,2000,Pseudoephedrine,Public warning,[74],1
1943,Elena Antoci, Romania,Middle distance,2008,EPO,,[75],1
1944,Olena Antonova, Ukraine,Discus throw,2009 (Retested 2013),Stanozolol,2 years,[13][30][76],1
1945,Esref Apak, Turkey,Hammer throw,2013,Stanozolol,2 years,[14][30][77],1
1946,Thozama April, South Africa,Long distance,2014,"Phentermine, Prednisolone, Norandrosterone",2 years,[69][70][78],1
1947,Demetra Arachoviti, Greece,Hurdling,2012,Stanozolol,2 years,[79][80],1
1948,Geisa Arcanjo, Brazil,Shot put,2010,Hydrochlorothiazide,Public warning,[81],1
1949,Juana Arrendel, Dominican Republic,High jump,1999,Stanozolol,,[82],1
1950,Katsiaryna Artsiukh, Kazakhstan,Hurdling,2010,Metenolone,2 years,[32][83],1
1951,Natalya Artyomova, Russia,Middle distance,,Steroids,,[84],1
1952,Tatiana Aryasova, Russia,Long distance,2012,Hydroxyethylstarch,2 years,[79][85][86],1
1953,Elena Arzhakova, Russia,Middle distance,2011,Biological passport violation,2 years,[79][87],1
1954,Malika Asahssah, Morocco,Long distance,2015,Stanozolol,4 years,[17][88],1
1955,Delilah Asiago, Kenya,Long distance,1999,,,[89],1
1956,Innocent Asonze, Nigeria,Sprinting,1999,,,[13][89],1
1957,Wayne Athorne, Australia,Decathlon,,Methandienone (Dianabol),,[90],1
1958,Duncan Atwood, United States,Javelin throw,1985,Stimulant,Life ban (later reduced),[2][91],1
1959,Olutoyin Augustus  (Toyin Augustus), Nigeria,Hurdles,2009,Abnormal testosterone levels,2 years,[13][92],1
1960,Anna Avdeyeva, Russia,Shot put,2013,Oral Turinabol (anabolic steroid),2 years,[76][93],1
1961,Roman Avramenko, Ukraine,Javelin throw,20132015,DehydrochloromethyltestosteroneDehydrochloromethyltestosterone,2 years8 years,[13][30][76]  [94][95],1
1962,Hussein Awada, Lebanon,Cross country running  Half marathon,2012,Nandrolone,2 years,[28][30],1
1963,Mark Anthony Awere, Ghana,Long jump,2001,,3 months,[96],1
1964,Bimbo Miel Ayedou, Benin,Sprinting,2012,Nandrolone,2 years,[40][97],1
1965,Süreyya Ayhan, Turkey,Middle distance,20042007,"Interfering with testStanozolol, Methandienone",2 yearsLife ban,[98][36][37][99],1
1966,Masoud Azizi, Afghanistan,Sprinting,2013,Nandrolone,2 years,[13][14][30],1
1967,Ahmed Baday, Morocco,Long distance,2010,Biological passport anomalies,2 years,[13][100][101],1
1968,Ndiss Kaba Badji, Senegal,"Long jump, triple jump",2005,Androstenedione,2 years,[66],1
1969,Oleksandr Bagach, Soviet Union Ukraine,Shot put,1989  1997,Steroids  Ephedrine,2 years  Public warning and disqualification,[102][103] (in German)[13][104][105][106],1
1970,José Alessandro Bagio, Brazil,Race walking,2010,19-Norandrosterone,2 years,[10][107],1
1971,Amina Bakhit, Sudan,Middle distance,2009,Norandrosterone,2 years,[36][37],1
1972,Sergey Bakulin, Russia,Race walking,2011,Biological passport anomalies,3 years and 2 months,[108][109],1
1973,Živilė Balčiūnaitė, Lithuania,Long distance,2010,Testosterone,2 years,[110][111],1
1974,Michal Balner, Czech Republic,Pole vault,2010,Cannabis,1 month,[32],1
1975,Onalenna Baloyi, Botswana,Middle distance,2010,Methylhexanamine,2 years,[32][112],1
1976,Yuliya Balykina, Belarus,Sprinting,2013,Drostanolone,2 years,[30][113],1
1977,Falk Balzer, Germany,Hurdling,2001,Nandrolone,2 years,[114][115],1
1978,Konstadinos Baniotis, Greece,High jump,2013,Furosemide,Public warning,[116][117],1
1979,Jarrod Bannister, Australia,Javelin throw,2012,Three Whereabouts Failures within an 18-month period,20 months,[76][118][119],1
1980,Kelly-Ann Baptiste, Trinidad and Tobago,Sprinting,,,2 years,[120][121],1
1981,Shawnacy Barber, Canada,Pole vault,2016,Cocaine,Public warning,[122][123],1
1982,Roberto Barbi, Italy,Marathon,1996  20012008,"Ephedrine EPO EPO, Ephedrine","3 months  4 years, reduced to 25 months  Life ban",[13][37][79][124][125][126],1
1983,Roxana Bârcă, Romania,Long distance running,2013,Methasterone,2 years,[34][113],1
1984,Randy Barnes, United States,Shot put,1990 1998,Methyltestosterone Androstenedione,27 months  Life ban,[127][128][129],1
1985,Yarelys Barrios, Cuba,Discus throw,2008,Acetazolamide,,[130],1
1986,Bruno de Barros, Brazil,Sprinting,2009,EPO,2 years,[36][37][131],1
1987,Elias Bastos, Brazil,Cross country running,2014,Methyltestosterone,2 years,[69][70][132],1
1988,Giuliano Battocletti, Italy,Long distance running,1999,Nandrolone,16 months,[133],1
1989,Dieter Baumann, Germany,Long distance,1999,Nandrolone,2 years,[134],1
1990,Julie Baumann, Canada,Hurdling,1989,Stanozolol,2 years,[1][135],1
1991,Vadim Bavikin, Israel,Javelin throw,1994,Steroids,4 years,[136],1
1992,Chantal Beaugeant, France,Heptathlon,1989,,2 years,[1][137][138][139],1
1993,James Beckford, Jamaica,Long jump,1997,Ephedrine,3 months,[140],1
1994,Violeta Beclea, Romania,Middle distance,1995,Steroids,4 years,[45][141],1
1995,Chaltu Beji, Azerbaijan,Steeplechase,2015,Ostarine,4 years,[142][143][144],1
1996,Alemitu Bekele, Turkey,Long distance,2009,Biological passport anomalies,2 years and 9 months,[13][47][145],1
1997,Mimi Belete, Bahrain,Middle/Long distance,2010,Salbutamol,Public reprimand and disqualification,[32][146],1
1998,Irina Belova, Russia,Heptathlon,1993,Testosterone,4 years,[45][147][148],1
1999,Kenta Bell, United States,Triple jump,2007,Methylprednisolone,3 months,[149][150][151],1
2000,Awatef Ben Hassine, Tunisia,Sprinting,2004,Norandrosterone,2 years,[98],1
2001,Yassine Bensghir, Morocco,Middle distance,2014,Biological passport,4 years,[17][152],1
2002,Yahya Berrabah, Morocco,Long jump,20092011,CannabisEPO,Public warning4 years (2nd ADRV),[37][153][154],1
2003,Gwen Berry, United States,Hammer throw,2016,Use of a prohibited substance (Vilanterol Trifenatate),3 months,[88][155],1
2004,Michael Berry, United States,Sprinting,2010,Cannabis,3 months,[32][156][157][158],1
2005,Mariya Bespalova, Russia,Hammer throw,2015,Dehydrochloromethyltestosterone,4 years,[56][159],1
2006,María Cristina Betancourt, Cuba,Discus throw,1983,,Life ban,[2][160],1
2007,Kipyegon Bett, Kenya,800 m,2017,Erythropoietin out-of-competition test in November 2017,4 years,[161],1
2008,Antonella Bevilacqua, Italy,High jump,1996,"Ephedrine, pseudoephedrine",,[162],1
2009,Uwe Beyer, West Germany,Hammer throw,1960's/1970's,Anabolic steroids (self-admitted),—,[163] (in German)[164],1
2010,Alemayehu Bezabeh, Spain,Middle/Long distance,2010,Use of a prohibited method (Operation Galgo),2 years,[10][97][165],1
2011,Rajendra Bahadur Bhandari,   Nepal,Long distance,2006,Norandrosterone,2 years,[166],1
2012,Quentin Bigot, France,Hammer throw,2014,Methandienone and Stanozolol,2 years,[167][168][169],1
2013,Madina Biktagirova, Unified Team,Long distance,1992,Norephedrine,,[170],1
2014,Yuriy Bilonoh, Ukraine,Shot put,2004 (Sample retested 2012),Oxandrolone,3 years,[13][171][172][173],1
2015,Svetlana Biryukova, Russia,Long jump,2014,SARMs,2-year ban,[174][175],1
2016,Dominique Blake, Jamaica,Sprinting,2006 2012,EphedrineMethylhexanamine,9 months 4 years and 6 months (Reduced from 6 years),[76][176][119][177][178][179],1
2017,Yohan Blake, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
2018,José Luis Blanco, Spain,Middle distance,2010,EPO,2 years,[180],1
2019,Zhanna Block, Ukraine,Sprinting,2002,BALCO scandal,2 years,[13][79][153],1
2020,Lyudmyla Blonska, Ukraine,"Heptathlon, long jump",20032008,Stanozolol Methyltestosterone,2 years  Life ban,[181][182][3][183],1
2021,Petr Bogatyrev, Russia,Race walking,2011,Biological passport anomalies,2 years,[47][145],1
2022,Ato Boldon, Trinidad and Tobago,Sprinting,2001,Ephedrine,Public warning,[74],1
2023,Scott Boothby, United States,Hammer throw,2006,"Finasteride, 6-oxo-androstenedione",4 years (Reduced from 8 years),[184][185][186],1
2024,Valeriy Borchin, Russia,Race walking,20052009,Ephedrine  Biological passport anomalies,1 year  8 years,[187][108][109],1
2025,Béranger-Aymard Bossé, Central African Republic,Sprinting,2016,Prednisolone,2 years,[16][17],1
2026,Mihaela Botezan, Romania,Long distance,2007,Chlortalidone,2 years,[3][188][189],1
2027,Chakir Boujattaoui, Morocco,Long-distance,2010,MIRCERA,2 years,[32][190],1
2028,Brahim Boulami, Morocco,Steeplechace,2002,EPO,2 years,[191],1
2029,Larbi Bouraada, Algeria,Decathlon,2012,Stanozolol,2 years,[30],1
2030,Abderrahime Bouramdane, Morocco,Marathon,2011,Biological passport,2 years,[142][143][192],1
2031,Zahra Bouras, Algeria,Middle-distance,2012,Stanozolol,2 years,[30],1
2032,Sofiya Bozhanova, Bulgaria,Long/Triple jump,1994,Amphetamine,4 years,[193],1
2033,Kevin Braunskill, United States,Sprinting,1994,Stanozolol,4 years,[194],1
2034,Grit Breuer, Germany,Sprinting,1992,Clenbuterol,2 years,[195],1
2035,Okkert Brits, South Africa,Pole vault,2003,Ephedrine,Public warning,[182][196],1
2036,Damien Broothaerts, Belgium,Hurdling,2011,"Methylhexanamine, 3 whereabouts failures",1 year (Reduced from 2 years),[10][197],1
2037,Alicia Brown, Canada,Sprinting,2013,Hydrochlorothiazide,2 years,[69][198][199],1
2038,Erik de Bruin, Netherlands,"Discus throw, shot put",1993,"Testosterone, Stanozolol, hCG",4 years,[200],1
2039,Ricky Bruch, Sweden,Discus throw,1960's/1970's,Anabolic steroids (self-admitted),—,[201] (in Swedish),1
2040,Yelyzaveta Bryzhina, Ukraine,Sprinting,2013,Drostanolone,2 years,[13][30][76],1
2041,Aleksandr Bulanov, Russia,Shot put,2009,Methandienone,2 years,[36][37],1
2042,Viktor Burayev, Russia,Race walking,2008,EPO,2 years,[3][202],1
2043,Tamara Bykova, Soviet Union,High jump,1990,Ephedrine,3 months,[203][204],1
2044,Yolanda Caballero, Colombia,Long distance,20112014,Biological passportTampering,4 years,[16][17],1
2045,Gary Cadogan, Great Britain,"Sprinting, hurdling",1998,Nandrolone,2 years,[205],1
2046,Dorina Calenic, Romania,Long distance,1987,,,[1][2][206],1
2047,Mehmet Çağlayan, Turkey,Long distance,2010,EPO,2 years,[32][112],1
2048,Jillian Camarena-Williams, United States,Shot put,2013,Clomiphene,6 months,[207][208],1
2049,John Capel, United States,Sprinting,2004  2006,CannabisCannabis,Public warning2 years,[209][210],1
2050,Dean Capobianco, Australia,Sprinting,1996,Stanazolol,2 years (Reduced from 4 years),[211],1
2051,Hector Carrasquillo, Puerto Rico,Sprinting,2011,Anabolic steroid,2 years,[10][212],1
2052,LaMark Carter, United States,Triple jump,2004,Salbutamol,Public warning,[186][213][214],1
2053,Silviu Casandra, Romania,Race walking,2002,,2 years,[215][216],1
2054,Arnaud Casquette, Mauritius,Long jump,2005,Cannabis,6 months,[66][217],1
2055,Víctor Castillo, Venezuela,Long jump,20062011,FurosemideMethylhexaneamine,2 years4 years,[218][21][34],1
2056,Recep Çelik, Turkey,Race walking,2012,Metenolone,2 years,[79][219],1
2057,Jolanda Čeplak, Slovenia,Middle distance,2007,EPO,2 years,[3][220][221],1
2058,Dwain Chambers, Great Britain,Sprinting,2003,"THG, Testosterone, EPO, HGH, Insulin, Modafinil & Liothyronine",2 years,[13][182][222][223],1
2059,Hafid Chani, Morocco,Long distance,2011,Biological passport,4 years,[69][70],1
2060,Jamel Chatbi, Morocco,Steeplechase,2009,Clenbuterol,3 years,[13][36][37][224],1
2061,Jani Chathurangani Silva, Sri Lanka,Sprinting,2006,Nandrolone,2 years,[3][36][225],1
2062,David Chaussinand, France,Hammer throw,23 May 2002  24 June 2002,Metenolone  Clenbuterol,3 years,[226],1
2063,Mouhcine Cheaouri, Morocco,Pole vault,2016,Stanozolol,4 years,[122][227],1
2064,Emily Chebet, Kenya,"Long distance, cross country",2015,Furosemide,4 years,[56][159][228][229],1
2065,Cristiana Checchi, Italy,Shot put,2003,Caffeine,Public warning,[230][231],1
2066,Viktor Chegin, Russia,Coach,,"Administration of a prohibited substance, complicity",Life ban,[17][232],1
2067,Abdelatif Chemlal, Morocco,Steeplechase,2004,Norandrosterone,2 years,[19][233][234],1
2068,Flomena Chepchirchir, Kenya,Marathon,2014,,6 months,[167],1
2069,Pamela Chepchumba, Kenya,Cross country running,2003,EPO,2 years,[230][235][236],1
2070,Susan Chepkemei, Kenya,Long distance,2007,Salbutamol,1 year,[3][18][237],1
2071,Svetlana Cherkasova, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][238][239][240],1
2072,Lada Chernova, Russia,Javelin throw,2008 2013,Metenolone  Bromantane,2 years  Life ban,[37][219][241][242][243][244],1
2073,Tatyana Chernova, Russia,Heptathlon,2009,Oral Turinabol,2 years,[245][246],1
2074,Lydia Cheromei, Kenya,Long distance,2005,Clomiphene,2 years,[247],1
2075,Damu Cherry, United States,Hurdling,2003,Norandrosterone,2 years,[182][248],1
2076,Silvano Chesani, Italy,High jump,2007,Formoterol,Public warning,[3][249],1
2077,Christophe Cheval, France,Sprinting,2001,Nandrolone,2 years,[13][250],1
2078,Dimitrios Chondrokoukis, Greece,High jump,2012,Stanozolol,2 years,[251][252][253],1
2079,Fouad Chouki, France,Middle distance,2003,EPO,2 years,[13][182][254],1
2080,Khalid Choukoud, Netherlands,Long distance,2007,Stanozolol,2 years,[3][255][256],1
2081,Linford Christie, Great Britain,Sprinting,1999,Nandrolone,2 years,[257],1
2082,Vivian Chukwuemeka, Nigeria,Shot put and discus,2009  2012,Oxymetholone  Stanozolol,2 years  Life ban,[92][119][258],1
2083,Clement Chukwu, Nigeria,Sprinting,1992,,4 years,[259][260],1
2084,Yelena Churakova, Russia,Hurdling,2013,Methandienone & Dehydrochloromethyltestosterone,2 years,[119][173][261],1
2085,Hazel Clark, United States,Middle distance,2001,Pseudoephedrine,Public warning,[262],1
2086,Venolyn Clarke, Canada,Sprinting,2001,Stanozolol,4 years,[13][263][264],1
2087,Ramon Clay, United States,Sprinting,2000–2004,Steroids and hormones (BALCO scandal),2 years,[13][32][265][266],1
2088,Luis Collazo, Puerto Rico,Long distance,2011,Exogenous steroids,2 years,[79][110],1
2089,Michelle Collins, United States,Sprinting,2002–2004,"THG, EPO (BALCO scandal)",4 years (Reduced from 8 years),[45][267][268],1
2090,Rosa Colorado, Spain,Hurdling,1980,Steroids,18 months,[1][2][13][269][270],1
2091,Hannah Cooper, Liberia,Sprinting,1999,,,[13],1
2092,Harold Connolly, United States,Hammer throw,1960's,Self-admitted; Anabolic steroids,–,[271][272],1
2093,Jessica Cosby, United States,Hammer throw,2009,"Hydrochlorothiazide, chlorothiazide",4 months,[32][273][274],1
2094,Nuno da Costa, Portugal,Cross country running,2011,EPO,2 years,[10][79][275],1
2095,Daniela Costian, Romania,Discus throw,1986,,,.[1][276],1
2096,Julie Coulaud, France,Middle/Long distance,2008,Testosterone,3 years,[3][36][277],1
2097,Crystal Cox, United States,Sprinting,2002  2001–2004,Ephedrine (positive test) Anabolic steroids (self admitted),Public warning  4-year ban,[216][262][32][45][278][279],1
2098,Shawn Crawford, United States,Sprinting,2012,3 whereabouts failures,2 years,[30][173][280][281],1
2099,Olga Cristea, Moldova,Middle-distance,2010,Testosterone,2 years,[32][190][282],1
2100,Peter Dajia, Canada,Shot put,1983– 1986,"Self admittance in 1989: Steroids Positive test: Steroids, Testosterone",18 months,[2][283][284],1
2101,Martina Danišová-Hrasnová, Slovakia,Hammer throw,2003,Nandrolone,2 years,[285][286],1
2102,Bonnie Dasse, United States,Shot put,1992,Clenbuterol,4 years,[287],1
2103,Marie Davenport  (Marie McMahon), Ireland,Long distance,1996,Phenylpropanolamine,Reprimand,[288][289][290],1
2104,Walter Davis, United States,Triple jump,2013,3 whereabouts failures,1 year,[30][35],1
2105,Alice Decaux, France,Hurdling,2013,β-Methylphenethylamine,6 months,[76][291][292],1
2106,Mary Decker (Mary Slaney), United States,Middle distance,1996,Testosterone,,[45][293],1
2107,Tony Dees, United States,Hurdling,2001,"Norandrosterone, Noretiochdandone",Life ban,[262],1
2108,Hind Dehiba, France,Middle distance,2007,EPO,2 years,[294],1
2109,Tatyana Dektyareva, Russia,Hurdling,2014,Ostarine,2 years,[101][295][296],1
2110,Dimitrios Delifotis, Greece,Long jump,1984,,,[1][2],1
2111,Luis Delís, Cuba,Discus throw/shot put,1990,,,[297],1
2112,Tezeta Dengersa, Turkey,Middle/Long distance,2005,Metenolone,2 years,[66],1
2113,Frédéric Denis, France,Steeplechase,2007,EPO,2 years,[79],1
2114,Sébastien Denis, France,Hurdling,2005,Ephedrine,Public warning,[66],1
2115,Lyubov Denisova, Russia,Marathon,2007,"Prostanozol, testosterone",2 years,[298],1
2116,Manuela Derr, Germany,Sprinting,1992,Clenbuterol,3 years,[299],1
2117,Ronald Desruelles, Belgium,Long jump,1980,,,[1][300],1
2118,Hrysopiyi Devetzi, Greece,Triple/Long jump,2009  2007 (Retest 2015),Failure to submit to doping controlStanozolol,2 years 4 years,[10][79][301][94][95],1
2119,Vadim Devyatovskiy, Belarus,Hammer throw,2000,Nandrolone,2 years,[102][302],1
2120,Aïssa Dghoughi, Morocco,Long distance,2006,Refusal to submit to doping control,3 years,[19][303][304],1
2121,Ahmed Mohamed Dheeb, Qatar,Discus throw,2010,Testosterone metabolites,,[10][305],1
2122,Alberico Di Cecco, Italy,Marathon,2008,EPO,2 years,[36][37][306],1
2123,Rostislav Dimitrov, Bulgaria,Triple jump,1999,Ephedrine,,[45][307],1
2124,Svetla Dimitrova, Bulgaria,Heptathlon,1989,Sydnocarb,2 years,[308],1
2125,Katalin Divós, Hungary,Hammer throw,2001,,2 years,[309],1
